id,population,bodies,bone pieces,carvings,claws,live,medicine,rug,skin pieces,skins,specimens,teeth,trophies
FR,2,,,,,,,,,,,,
CH,1,,,,,,,,,,,,
CN,9,,,,,,,,,,,,
CL,4,,,,,,,,,,,,
CA,7,,,,,,,,,,,,
JP,3,,,,,,,,,,,,
IT,6,,,,,,,,,,,,
EC,2,,,,,,,,,,,,
XX,6,,,,,,,,,,,,
AU,2,,,,,,,,,,,,
IL,2,,,,,,,,,,,,
BR,3,,,,,,,,,,,,
PK,2,,,,,,,,,,,,
VN,21,,,,,,,,,,,,
KG,6,,,,,,,,,,,,
ID,1,,,,,,,,,,,,
DK,1,,,,,,,,,,,,
MD,2,,,,,,,,,,,,
TN,1,,,,,,,,,,,,
UY,1,,,,,,,,,,,,
UZ,2,,,,,,,,,,,,
TW,1,,,,,,,,,,,,
TR,1,,,,,,,,,,,,
US,1730,,,,,,,,,,,,
BY,1,,,,,,,,,,,,
LV,1,,,,,,,,,,,,
KR,1,,,,,,,,,,,,
KP,2,,,,,,,,,,,,
RU,2,,,,,,,,,,,,
TH,13,,,,,,,,,,,,
NL,1,,,,,,,,,,,,
KZ,6,,,,,,,,,,,,
PH,2,,,,,,,,,,,,
MY,2,,,,,,,,,,,,
UA,1,,,,,,,,,,,,
GB,36,,,,,,,,,,,,
