id,population,bodies,bone pieces,carvings,claws,live,medicine,specimens
FR,2,2,,,,,,
CH,1,,,,,1,,
CN,4,4,,,,,,
CL,4,,,,,4,,
CA,6,,,,,6,,
JP,3,,,,,3,,
IT,6,1,,1,,4,,
EC,2,,,,,2,,
XX,6,,,,,6,,
AU,2,,,,,2,,
IL,2,,,,,2,,
BR,3,,,,,3,,
PK,2,,,,,2,,
VN,21,,,,,21,,
KG,6,,,,,6,,
ID,1,,,,,1,,
MD,2,,,,,2,,
TN,1,,,,,1,,
UY,1,1,,,,,,
UZ,2,,,,,2,,
TW,1,1,,,,,,
TR,1,1,,,,,,
US,1725,,5,,2,10,1335,373
BY,1,,,,,1,,
LV,1,,,,,1,,
KR,1,,,,,,,1
KP,2,2,,,,,,
TH,13,,,,,13,,
NL,1,,,,,1,,
KZ,6,,,,,6,,
PH,2,,,,,2,,
MY,2,,,,,2,,
UA,1,,,,,1,,
GB,36,,,,,1,,35
